organization_name,,address,physicalcity,,,location,lat,lng,Phone Number,,,,,,,,residential_offered,oupatient_offered,oupatient_offered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2,Q1,Q4,Q5,Q7,Q8,,,,Q9,Q15,Q19_1,Q19_2,Q19_3,Q20_1,Q20_2,Q20_3,Q10_1,,Q10_2,Q10_3,Q10_4,Q10_5,Q52,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_11_TEXT,Q28,Q42,Q33,Q46,Q53,Q38,Q43_1,Q43_2,Q43_3,Q43_3_TEXT,Q39,Q40,Q44,Q54,Q47,Q13_1,Q13_2,Q21_1,Q21_2,Q23,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q45,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q24,Q48,Q49,Q50,Q51_1,Q51_2,Q51_3,Q51_4,Q51_5,Q51_5_TEXT,Q18,Q41,Q56,Q37,LocationLatitude,LocationLongitude,LocationAccuracy
Facility or provider name,Willingness to participate,Street address,City,County,Zip code,,,,Telephone number for patients/clients,Does your facility provide detoxification services?,For which of the following substances do you provide detoxification / services? (select all that ap...-Alcohol/sedative/hypnotic,For which of the following substances do you provide detoxification / services? (select all that ap...-Opioids,For which of the following substances do you provide detoxification / services? (select all that ap...-Other,What types of detoxification services do you provide? (select all that apply)-Medication taper,What types of detoxification services do you provide? (select all that apply)-Medication to treat symptoms,What types of detoxification services do you provide? (select all that apply)-Non-medical,Do you/does your facility provide (select all that apply)-Residential treatment,,Do you/does your facility provide (select all that apply)-Intensive outpatient,Do you/does your facility provide (select all that apply)-Outpatient services,Do you/does your facility provide (select all that apply)-Methadone,Do you/does your facility provide (select all that apply)-Buprenorphine,Note: The following questions refer to the residential /  program,Please indicate the length of your program (select all that apply)-7 days,Please indicate the length of your program (select all that apply)-14 days,Please indicate the length of your program (select all that apply)-21 days,Please indicate the length of your program (select all that apply)-28-30 days,Please indicate the length of your program (select all that apply)-1-3 months,Please indicate the length of your program (select all that apply)-4-6 months,Please indicate the length of your program (select all that apply)-7-12 months,Please indicate the length of your program (select all that apply)-13-18 months,Please indicate the length of your program (select all that apply)-19-24 months,Please indicate the length of your program (select all that apply)-Over two years,Please indicate the length of your program (select all that apply)-Other,Please indicate the length of your program (select all that apply)-Other-TEXT,Are patients/clients allowed to smoke anywhere on the grounds of / your facility?,"Are patients/clients allowed to use nicotine replacement therapy / (e.g., nicotine patches or gum)",Are there any prescribed medications that you do not allow patients / to remain on while in your pr...,What medications/types of medicationsôà¯»do you not allow patients to remain on while in your program?,Note: the following questions refer to the buprenorphine / program,"For patients receiving buprenorphine, do you offer counseling?",What are the qualifications of your staff members? (check all that apply)-Licensed or certified behavioral health professionals,What are the qualifications of your staff members? (check all that apply)-Licensed medical professionals,What are the qualifications of your staff members? (check all that apply)-Other,What are the qualifications of your staff members? (check all that apply)-Other-TEXT,"For patients receiving buprenorphine, do you perform drug / screens?",Does your facility do medication counts?,What is the training/background of the doctors in your facility / providing buprenorphine prescript...,Note: The following question refers to the methadone / program,Are you a licensed opioid treatment program?,Do you provide services to individualsôà¯»(select all that apply)-Under 18,Do you provide services to individualsôà¯»(select all that apply)-18 and over,Do you provide services to (select all that apply)-Males,Do you provide services to (select all that apply)-Females,Do you provide services to pregnant women?,Which of the following payment types do you accept? (select all that apply)-Medicare,Which of the following payment types do you accept? (select all that apply)-Medicaid,"Which of the following payment types do you accept? (select all that apply)-Government funding (for example, UNITE treatment vouchers)",Which of the following payment types do you accept? (select all that apply)-Private insurance,Which of the following payment types do you accept? (select all that apply)-Payment assistance,Which of the following payment types do you accept? (select all that apply)-No fee,Which of the following payment types do you accept? (select all that apply)-Self pay,"For clients who are selecting to self pay, is the money needed for / an up-front payment?",Which types of Medicaid do you accept? (select all that apply)-Anthem,Which types of Medicaid do you accept? (select all that apply)-Coventry,Which types of Medicaid do you accept? (select all that apply)-Humana,Which types of Medicaid do you accept? (select all that apply)-Passport,Which types of Medicaid do you accept? (select all that apply)-Wellcare,Is it necessary to drug test negative to enter your program?,Does your program have any restrictions on patients with / significant health problems or mental he...,Please describe these restrictions.,Does your program have any priority populations or services geared / toward a specific population?...,What are your priority populations/what populations do you have / services specifically geared towa...-Pregnant women,What are your priority populations/what populations do you have / services specifically geared towa...-Injection drug users,What are your priority populations/what populations do you have / services specifically geared towa...-Homeless individuals,What are your priority populations/what populations do you have / services specifically geared towa...-Faith-based services,What are your priority populations/what populations do you have / services specifically geared towa...-Other,What are your priority populations/what populations do you have / services specifically geared towa...-Other-TEXT,Thank you for your time. [script for here?],Use this space to add any additional notes about this / facility.,When would be a better date/time to contact you?,Please use the back arrow to make any needed changes to this /  survey prior to submission. /  Thank...,LocationLatitude,LocationLongitude,LocationAccuracy
,1,"1002 Washington Avenue, suite 1",newport,Campbell,41071,"1002 Washington Avenue, suite 1 newport, Kentucky 41071",39.088201,-84.486808,859-442-7700,2,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,,1,,,1,1,,,,,,2,2,,2,,,,,,,1,,,1,37.99519348,-84.36889648,-1
Towns Counseling Services PSC,1,202 South Main Street,Elizabethtown,Hardin,42701,"202 South Main Street Elizabethtown, Kentucky 42701",37.6919739,-85.8591933,270-982-2223,1,1,1,,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,1,,1,1,1,1,,,,,,2,2,,2,,,,,,,1,"We provide various treatment modalities, including partial hospitalization. There are 3 physicians and 1 psychiatric nurse, along with other medical professionals to help with treatment. ",,1,37.99519348,-84.36889648,-1
,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday-Thursday,1,37.99519348,-84.36889648,-1
,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/6/15 after 2:00om,1,37.99519348,-84.36889648,-1
Transitions Inc,1,601 York Street,Newport,Campbell,41071,"601 York Street Newport, Kentucky 41071",39.090741,-84.494529,859-291-3660,2,,,,,,,1,,,,,,1,,,,,,1,,,,,,,1,,1,There is a 3 page list: contact corporate office 859-491-4435,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,2,2,,1,,,,,1,All are referred from the department of corrections,1,For information about insurance and restricted prescription medications contact the corporate office (# provided under restricted meds).,,1,37.99519348,-84.36889648,-1
Saint Elizabeth Healthcare,1,512 South Maple Avenue,FAlmouth,Pendleton,41040,"512 South Maple Avenue FAlmouth, Kentucky 41040",38.6748193,-84.3339229,859-572-3596,1,1,1,1,1,1,,1,,,,,,1,,1,,,,,,,,,,,1,,1,"no opiates, no pain killers, no psychotropics (must be prescribed throught the physician)",,,,,,,,,,,,,1,1,1,,1,,,1,,1,1,1,,,,,,2,2,,2,,,,,,,1,,,1,38.02870178,-84.50749969,-1
,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"office manager is not in on fridays, will try back next week",1,38.02870178,-84.50749969,-1
Jackson Behavioral Health Professionals,1,1707 Falls Highway,Corbin,Whitley,40701,"1707 Falls Highway Corbin, Kentucky 40701",,,606-526-9500,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,2,,,,,,2,2,,2,,,,,,,1,,,1,38.02870178,-84.50749969,-1
,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,next week,1,38.02870178,-84.50749969,-1
