,organization_name,address,physicalcity,physicalzipcode,lat,lng,Phone Number,oupatient_offered,residential_offered,partial_hosp_offered,transitional_living_offered,peer_services_offered,peer_mentoring,peer_groups_12steps,peer_transitional_living,serves_adolescent_females,serves_adolescent_males,serves_children,serves_faith_based,serves_families,serves_female_only,serves_male_only,serves_females_males_both,serves_preg_females,serves_veterans,serves_other,serves_others_text,v253,v254,v255,pleaseindicatespecialtrainingadd,pleaseindicatespecialtrainingbio,pleaseindicatespecialtrainingdia,pleaseindicatespecialtrainingemd,pleaseindicatespecialtraininggam,pleaseindicatespecialtrainingneu,pleaseindicatespecialtrainingsee,pleaseindicatespecialtrainingsev,pleaseindicatespecialtrainingtra,pleaseindicatespecialtrainingnos,pleaseindicatespecialtrainingoth,v267,county,border_counties,region
Kentucky,Pollard Counseling Services,"203 Burkesville St., Ste. 111",Columbia,42728,37.1020288,-85.3072565,270-384-1198,1,,,,,1,1,,1,1,1,1,1,,,1,1,1,,,,,,1,,1,,1,,,,1,,,,Adair,"Taylor, Casey, Russell, Cumberland, Metcalfe, Green",Lake Cumberland
Kentucky,Awareness and Discovery Group,2 Dortha Ave.,"Florence, ",41042,39.003156,-84.6240069,859-525-1487,1,,1,,,,,,1,1,1,,1,,,1,1,1,,,,,,1,,,,,,,,,,1,Domestic Violence,Boone,"Kenton, Grant, Gallatin",Northern Kentucky
Kentucky,Brighton Recovery Center for Women,375 Weaver Rd,Florence,41042,38.9647957,-84.6343478,859-292-5486,,1,,1,1,1,1,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,Boone,"Kenton, Grant, Gallatin",Northern Kentucky
Kentucky,"Serenity IOP, LLC",18 Clinic Drive,Paris,40361,38.2203528,-84.2370436,859-987-6810,1,,,,,1,1,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,Bourbon,"Harrison, Nicholas, Bath, Montgomery, Clark, Fayette, Scott",Bluegrass
Kentucky,Hand Of Hope,1212 Bath avenue suite 101,Ashland,41101,38.4780363,-82.6462067,606-393-5926,,1,,,,,,1,,,,1,1,1,,1,,,1,,810281,,,1,,1,,1,,1,,1,,,,Boyd,"Greenup, Carter, Lawrence",FIVCO
Kentucky,"Lighthouse Counseling Services, Inc.",920 Frederica Street,Owensboro,42301,37.766622,-87.113721,2706890073,1,,,,,,,,1,1,1,1,1,,,1,1,1,,,,1,MAC,1,,1,1,1,,,,1,,,,Daviess,"Hancock, Ohio, McLean, Henderson",Green River
Kentucky,OASIS,PO BOX 315,Owensboro,42302,37.77,-87.11,270-685-0260,,1,,,,1,1,1,,,1,,,1,,,1,1,,,,,,1,,,,,,1,,1,,,,Daviess,"Hancock, Ohio, McLean, Henderson",Green River
Kentucky,Owensboro Regional Recovery,4301 Veach Road,Owensboro,42303,37.7260769,-87.10523,270-689-0905,,1,,1,1,1,1,1,,,,,,,1,,,,,,Recovery Dynamics,,,1,,,,,,,,,,,,Daviess,"Hancock, Ohio, McLean, Henderson",Green River
Kentucky,Bluegrass.org Pride Program,1351 Newtown Pike Building 5,Lexington,40511,38.082537,-84.4934789,859-425-1210,1,,,,,1,1,,,,,,,1,,,1,,,,,,,1,1,1,,1,1,1,,1,,,,Fayette,"Scott, Bourbon, Clark, Madison, Jessamine, Woodford",Bluegrass
Kentucky,"Chrysalis House, Inc.",1589 Hill Rise Drive,Lexington,40504,38.0474578,-84.5304373,800.713.0954,,1,,1,,,,,,,,,,1,,,1,,,,,,,1,,1,,,,,,1,,,,Fayette,"Scott, Bourbon, Clark, Madison, Jessamine, Woodford",Bluegrass
Kentucky,Hope Center,360 West Loudon Ave,Lexington,40508,38.062112,-84.494181,859-252-7881,,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Fayette,"Scott, Bourbon, Clark, Madison, Jessamine, Woodford",Bluegrass
Kentucky,Hope Center Recovery Program for Woman,1524 Versailles Road,Versailles,40504,38.0484562,-84.5306536,859-252-2002,,1,,,1,1,1,,,,,,,1,,,,,,,,,,1,,,,,,1,,1,,,,Fayette,"Scott, Bourbon, Clark, Madison, Jessamine, Woodford",Bluegrass
Kentucky,HOPE CTR,360 w louden,Lexington,40508,38.062112,-84.494181,859-252-7881,,1,,,1,1,1,1,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,Fayette,"Scott, Bourbon, Clark, Madison, Jessamine, Woodford",Bluegrass
Kentucky,"Nolan, Inc.","2401 Regency Rd., Ste 102",Lexington,40503,38.0052059,-84.525377,859 278-4673,1,,,,,,,,,,,,,,,1,,,,,AODE,,,1,,,,,,,,,,,,Fayette,"Scott, Bourbon, Clark, Madison, Jessamine, Woodford",Bluegrass
Kentucky,Schwartz Center,3479 buckhorn drive suite 106,Lexington,40511,37.97702,-84.458891,859-246-7282,,1,,,,,,,,,,,1,,,1,1,1,,,,,,1,,,,,,1,,,,,,Fayette,"Scott, Bourbon, Clark, Madison, Jessamine, Woodford",Bluegrass
Kentucky,Shepherd's House Inc.,154 Bonnie Brae Dr.,Lexington,40508,38.0362855,-84.5099313,859-252-1939,,,,1,,1,1,1,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,Fayette,"Scott, Bourbon, Clark, Madison, Jessamine, Woodford",Bluegrass
Kentucky,The Ridge Behavioral Health System,3050 Rio Dosa Drive,Lexington,40509,38.004533,-84.442675,859-269-2325,1,,1,,,,1,,1,1,1,,,,,1,,,,,,,,1,,1,,,,,1,,,,,Fayette,"Scott, Bourbon, Clark, Madison, Jessamine, Woodford",Bluegrass
Kentucky,"Thomas-Peeples & Associates, PSC",106 Dennis Drive,Lexington,40503,38.002746,-84.52146,(859) 278-4775,1,,,,,,1,,1,1,1,1,1,,,1,1,1,,,,,,1,,,,1,,,,1,,,,Fayette,"Scott, Bourbon, Clark, Madison, Jessamine, Woodford",Bluegrass
Kentucky,Volunteers of America's Homless Veterans Transitional Treatment Program (HVTTP),2250 Leestown Rd. Bldg 29-2,Lexington,40502,38.0723457,-84.5401578,859-254-0149,,1,,1,1,1,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,Fayette,"Scott, Bourbon, Clark, Madison, Jessamine, Woodford",Bluegrass
Kentucky,Addiction Recovery Care,125 S Main Cross St,Louisa,41230,38.1152694,-82.6027189,(606) 638-0938,1,1,,,,,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,Fleming,"Mason, Lewis, Rowan, Bath, Nicholas, Robertson",Buffalo Trace
Kentucky,Center For Behavioral Health,2225 Lawrenceburg Rd Bldg C,Frankfort,40601,38.1505188,-84.894729,502-352-2111,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,Franklin,"Owen, Scott, Woodford, Anderson, Shelby, Henry",Bluegrass
Kentucky,Evergreen Counseling,303 West High Street,Warsaw,41095,38.7829418,-84.905024,859-567-5507,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,Gallatin,"Boone, Grant, Owen, Carroll",Northern Kentucky
Kentucky,"Estes Behavioral Health, LLC",227 Monroe Street,Hawesville,42348,37.904065,-86.7530458,2709276003,1,,,,,,,,1,1,1,,1,,,1,1,,,,,,,1,,,,,,,,,,,,Hancock,"Breckenridge, Ohio, Daviess",Green River
Kentucky,Hub City Services,7 Public Square,Elizabethtown,42801,37.6931439,-85.8577856,270-737-8529,1,,,,,,,,,,,,,,,1,,,1,DUI Offenders,KY OIG,1,KY DUI Program,1,,,,,,,,,,1,DUI Education and treatment,Hardin,"Bullitt, Nelson, Larue, Hart, Grayson, Breckenridge, Meade",Lincoln Trail
Kentucky,Passages,615 westport Rd.,elizabethtown,42701,37.7028153,-85.8816614,270-737-6449,,,,1,,,1,1,,,,,,1,,,,,,,residential tranistional livinig,,,1,,,,,,,,,,,,Hardin,"Bullitt, Nelson, Larue, Hart, Grayson, Breckenridge, Meade",Lincoln Trail
Kentucky,Cumberland Hope Community,6050 HWY 38,Evarts,40838,36.851243,-83.2247879,606-837-0100,,1,,,,1,1,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,Harlan,"Perry, Letcher, Bell, Leslie",Cumberland Valley
Kentucky,Adams & Associates,216 South Main Street,Cynthiana,41031,38.3879128,-84.2978221,859-234-0026,1,,,,,,,,1,1,1,,1,,,1,,,,,AODE 810140,,,1,,,,,,,,,,1,Play Therapy,Harrison,"Pendleton, Bracken, Robertson, Nicholas, Bourbon, Scott, Grant",Bluegrass
Kentucky,Women's Addiction Recovery Manor,56 North McKinley Street,Henderson,42420,37.8313103,-87.5751289,270-826-0036,,1,,1,1,1,1,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,Henderson,"Daviess, McLean, Webster, Union",Green River
Kentucky,Above & Beyond Counseling - Valley,"5404 Valley Station Road, Suite 102",Louisville,40272,38.1061626,-85.8655357,502-935-3700,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,Jefferson,"Oldham, Shelby, Spencer, Nelson, Bullitt",KIPDA
Kentucky,Alcohol Abuse&Awareness Center,503 Washburn Ave Suite 203,Louisville,40222,38.256922,-85.613258,502-714-3924,,1,,,,1,1,,,,,,,,,1,,,1,,OIG Outpatient/DUI Services,,,1,,,,,,,,1,,,,Jefferson,"Oldham, Shelby, Spencer, Nelson, Bullitt",KIPDA
Kentucky,ALCOHOL EDUCATION AND COUNSELING SERVICE,6801 DIXIE HWY SUITE 230,LOUISVILLE,40258,38.1506584,-85.8355084,502-933-4504,1,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,Jefferson,"Oldham, Shelby, Spencer, Nelson, Bullitt",KIPDA
Kentucky,Better Alternatives Counseling,1169 Eastern Parkway Suite 1138 Louisville Ky 40217,same,40217,38.2257944,-85.7258255,502 454 6350,1,,,,,1,1,,1,1,,,1,,,1,1,1,,,,1,"CCJS, MAC",1,,,,1,,,,1,,,,Jefferson,"Oldham, Shelby, Spencer, Nelson, Bullitt",KIPDA
Kentucky,Center for Behavioral Health,1402A Browns Lane,Louisville,40207,38.2365898,-85.6306888,502-894-0234,1,,,,,,,,,,,,,,,1,1,1,,,"OIG, DBH, CARF, DEA",,,1,,,,,,,,,,,,Jefferson,"Oldham, Shelby, Spencer, Nelson, Bullitt",KIPDA
Kentucky,"Dave Harmon & Associates, Inc, Evaluation and Counseling","Dupont Professional Towers , 4010 Dupont Circle, Suite 226",Louisville,40207,38.2332433,-85.630143,(502) 896-8006,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,LGBT Community Members,"KY, ADP",,,1,,,,1,,,,1,,1,Transactional Analysis,Jefferson,"Oldham, Shelby, Spencer, Nelson, Bullitt",KIPDA
Kentucky,Life Management Inc.,116 Bauer Ave. Second Floor,Louisville,40207,38.262469,-85.6486251,502-773-3406,,1,,,,1,1,1,1,1,1,1,1,1,1,1,,1,,,AODE and DUI,,,1,,1,,,,,,1,,1,,Jefferson,"Oldham, Shelby, Spencer, Nelson, Bullitt",KIPDA
Kentucky,The Brook Hospital KMI,8521 LaGrange Rd,Louisville,40242,38.2657759,-85.5935142,5024266380,,1,1,1,,1,1,1,1,1,,,,,,1,,,,,,,,1,,1,,,,,1,,,,,Jefferson,"Oldham, Shelby, Spencer, Nelson, Bullitt",KIPDA
Kentucky,The Healing Place for Women,1503 S. 15 Street,Louisville,40210,38.2265975,-85.779971,502 568 6680,,1,,,1,1,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,Jefferson,"Oldham, Shelby, Spencer, Nelson, Bullitt",KIPDA
Kentucky,The MORE Center,1448 South 15th Street,Louisville,40210,38.2287813,-85.7800208,(502) 574-6414,1,,,,,,,,,,,,,,,1,1,,,,,1,MA-Medical Assistant,1,,,,,,,,,,,,Jefferson,"Oldham, Shelby, Spencer, Nelson, Bullitt",KIPDA
Kentucky,Volunteers of America,1436 S. Shelby St.,Louisville,40217,38.2269402,-85.7420371,502-636-0742,,1,,1,,,,,,,,,1,,,1,1,1,,,,,,1,,,,,,1,,1,,,,Jefferson,"Oldham, Shelby, Spencer, Nelson, Bullitt",KIPDA
Kentucky,Jessamine DUI and Substance Abuse Program,213 Edgewood Plaza,Nicholasville,40356,37.8688937,-84.5810268,859-213-2283,1,,,,,,1,,,,,1,,,,,,1,,,810263,,,1,,,,,,,,,,,,Jessamine,"Fayette, Madison, Garrard, Mercer, Woodford",Bluegrass
Kentucky,New Life Clinic :David J. Hunter Counseling Services INC,504 North Main Street,Nicholasville,40356,37.8853856,-84.5709053,858.455.6134,,,,,,1,1,,1,1,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,Jessamine,"Fayette, Madison, Garrard, Mercer, Woodford",Bluegrass
Kentucky,A POINT OF CHANGE,1005 Broadway Street,Paintsville,41240j,37.8145384,-82.8071054,606-789-4779,1,,,,,1,1,,,,,,,,,1,1,,,,,1,BA Substance Abuse Counselor,1,,,,,,,,,,,,Johnson,"Lawrence, Martin, Floyd, Magoffin, Morgan",Big Sandy
